Subject,Age,Sex,novelACC,seenACC,overallACC,ComplexHCH,BasicHCH,ComplexLCH,BasicLCH,ComplexHCM,BasicHCM,ComplexLCM,BasicLCM
5415,19,female,0.595238095,0.571428571,0.583333333,0.333333333,0.142857143,0.380952381,0.285714286,0.047619048,0.19047619,0.238095238,0.380952381
5542,19,female,0.654761905,0.666666667,0.660714286,0.357142857,0.404761905,0.333333333,0.238095238,0.071428571,0.095238095,0.238095238,0.261904762
5543,20,female,0.773809524,0.666666667,0.720238095,0.523809524,0.357142857,0.19047619,0.261904762,0.285714286,0.380952381,0,0
5544,20,female,0.833333333,0.547619048,0.69047619,0.333333333,0.30952381,0.166666667,0.285714286,0.166666667,0.095238095,0.333333333,0.30952381
5545,18,female,0.797619048,0.476190476,0.636904762,0.30952381,0.30952381,0.142857143,0.19047619,0.5,0.404761905,0.047619048,0.095238095
5546,18,female,0.69047619,0.345238095,0.517857143,0.047619048,0.166666667,0.285714286,0.19047619,0.404761905,0.30952381,0.261904762,0.333333333
5547,19,female,0.678571429,0.642857143,0.660714286,0.5,0.5,0.166666667,0.119047619,0.19047619,0.261904762,0.142857143,0.119047619
5548,19,female,0.666666667,0.583333333,0.625,0.166666667,0.119047619,0.476190476,0.404761905,0,0.023809524,0.357142857,0.452380952
5550,19,female,0.928571429,0.226190476,0.577380952,0.071428571,0.071428571,0.142857143,0.166666667,0.119047619,0.119047619,0.666666667,0.642857143
5551,18,female,0.738095238,0.511904762,0.625,0.19047619,0.095238095,0.404761905,0.333333333,0.119047619,0.214285714,0.285714286,0.357142857
5552,19,female,0.630952381,0.595238095,0.613095238,0.380952381,0.5,0.238095238,0.071428571,0.142857143,0.19047619,0.238095238,0.238095238
5553,19,female,0.797619048,0.261904762,0.529761905,0.119047619,0.047619048,0.166666667,0.19047619,0.357142857,0.380952381,0.357142857,0.380952381
5554,18,female,0.678571429,0.452380952,0.56547619,0.357142857,0.30952381,0.095238095,0.142857143,0.380952381,0.285714286,0.166666667,0.261904762
5555,18,female,0.845238095,0.345238095,0.595238095,0.19047619,0.142857143,0.261904762,0.095238095,0.333333333,0.5,0.214285714,0.261904762
5557,19,female,0.5,0.523809524,0.511904762,0.380952381,0.285714286,0.119047619,0.261904762,0.142857143,0.095238095,0.357142857,0.357142857
5559,21,female,0.773809524,0.488095238,0.630952381,0.428571429,0.428571429,0.047619048,0.071428571,0.238095238,0.238095238,0.285714286,0.261904762
5560,18,female,0.738095238,0.428571429,0.583333333,0.30952381,0.166666667,0.214285714,0.166666667,0.095238095,0.047619048,0.380952381,0.619047619
5561,21,female,0.369047619,0.69047619,0.529761905,0.261904762,0.30952381,0.452380952,0.357142857,0.142857143,0.19047619,0.142857143,0.142857143
5562,22,female,0.654761905,0.619047619,0.636904762,0.261904762,0.166666667,0.380952381,0.428571429,0.095238095,0.047619048,0.261904762,0.357142857
5563,19,male,0.654761905,0.583333333,0.619047619,0.166666667,0.166666667,0.380952381,0.452380952,0.023809524,0.142857143,0.428571429,0.238095238
5564,19,male,0.726190476,0.619047619,0.672619048,0.285714286,0.238095238,0.30952381,0.404761905,0.166666667,0.119047619,0.238095238,0.238095238
5565,21,male,0.702380952,0.452380952,0.577380952,0.380952381,0.214285714,0.19047619,0.119047619,0.333333333,0.595238095,0.095238095,0.071428571
5568,19,male,0.55952381,0.583333333,0.571428571,0.357142857,0.285714286,0.238095238,0.285714286,0.142857143,0.166666667,0.261904762,0.261904762
5569,19,male,0.857142857,0.321428571,0.589285714,0.142857143,0.119047619,0.142857143,0.238095238,0.19047619,0.285714286,0.523809524,0.357142857
5570,18,male,0.75,0.464285714,0.607142857,0.166666667,0.19047619,0.333333333,0.238095238,0.333333333,0.30952381,0.166666667,0.261904762
5571,18,male,0.738095238,0.511904762,0.625,0.428571429,0.30952381,0.142857143,0.142857143,0.357142857,0.333333333,0.071428571,0.214285714
5572,19,male,0.666666667,0.5,0.583333333,0.261904762,0.238095238,0.214285714,0.285714286,0.166666667,0.071428571,0.357142857,0.404761905
5574,24,male,0.369047619,0.654761905,0.511904762,0.119047619,0.119047619,0.476190476,0.595238095,0.095238095,0.023809524,0.30952381,0.261904762
5575,19,male,0.785714286,0.476190476,0.630952381,0.19047619,0.166666667,0.285714286,0.30952381,0.047619048,0.047619048,0.476190476,0.476190476
5576,18,male,0.69047619,0.476190476,0.583333333,0.261904762,0.30952381,0.19047619,0.19047619,0.142857143,0.214285714,0.404761905,0.285714286
5577,19,male,0.773809524,0.44047619,0.607142857,0.380952381,0.30952381,0.119047619,0.071428571,0.285714286,0.333333333,0.214285714,0.285714286
5578,23,male,0.619047619,0.464285714,0.541666667,0.214285714,0.214285714,0.333333333,0.166666667,0.166666667,0.30952381,0.285714286,0.30952381
5579,21,male,0.666666667,0.547619048,0.607142857,0.357142857,0.404761905,0.238095238,0.095238095,0.119047619,0.214285714,0.285714286,0.285714286
5580,18,male,0.630952381,0.69047619,0.660714286,0.619047619,0.547619048,0.071428571,0.142857143,0.095238095,0.119047619,0.214285714,0.19047619
5581,20,male,0.761904762,0.619047619,0.69047619,0.095238095,0.166666667,0.523809524,0.452380952,0,0,0.380952381,0.380952381
5582,19,female,0.964285714,0.119047619,0.541666667,0.095238095,0.047619048,0.047619048,0.047619048,0.666666667,0.761904762,0.19047619,0.142857143
5583,19,female,0.619047619,0.523809524,0.571428571,0.333333333,0.380952381,0.166666667,0.166666667,0.19047619,0.142857143,0.30952381,0.30952381
5584,20,female,0.726190476,0.523809524,0.625,0.30952381,0.380952381,0.19047619,0.166666667,0.023809524,0.142857143,0.476190476,0.30952381
5585,18,female,0.797619048,0.571428571,0.68452381,0.214285714,0.261904762,0.30952381,0.357142857,0.333333333,0.285714286,0.142857143,0.095238095
5586,21,female,0.761904762,0.464285714,0.613095238,0.166666667,0.119047619,0.30952381,0.333333333,0.261904762,0.166666667,0.261904762,0.380952381
5587,18,female,0.702380952,0.547619048,0.625,0.19047619,0.119047619,0.428571429,0.357142857,0.047619048,0.023809524,0.333333333,0.5
5588,19,female,0.857142857,0.547619048,0.702380952,0.404761905,0.428571429,0.119047619,0.142857143,0.452380952,0.404761905,0.023809524,0.023809524
5589,18,female,0.857142857,0.321428571,0.589285714,0.095238095,0.142857143,0.19047619,0.214285714,0.142857143,0.119047619,0.571428571,0.523809524
5590,18,female,0.583333333,0.464285714,0.523809524,0.119047619,0.404761905,0.238095238,0.166666667,0.428571429,0.261904762,0.214285714,0.166666667
5591,21,female,0.833333333,0.702380952,0.767857143,0.357142857,0.261904762,0.452380952,0.333333333,0.023809524,0.119047619,0.166666667,0.285714286
5592,18,male,0.761904762,0.619047619,0.69047619,0.380952381,0.214285714,0.285714286,0.357142857,0.071428571,0.095238095,0.261904762,0.333333333
5593,19,male,0.547619048,0.773809524,0.660714286,0.619047619,0.523809524,0.19047619,0.214285714,0.047619048,0.071428571,0.142857143,0.19047619
5594,19,male,0.785714286,0.476190476,0.630952381,0.380952381,0.357142857,0.047619048,0.166666667,0.261904762,0.285714286,0.30952381,0.19047619
5595,19,male,0.523809524,0.69047619,0.607142857,0.238095238,0.214285714,0.452380952,0.476190476,0,0.047619048,0.30952381,0.261904762
5596,21,male,0.69047619,0.80952381,0.75,0.642857143,0.571428571,0.166666667,0.238095238,0.095238095,0.047619048,0.095238095,0.142857143
5606,19,female,0.619047619,0.773809524,0.696428571,0.523809524,0.5,0.285714286,0.238095238,0.023809524,0.047619048,0.166666667,0.214285714
5607,19,female,0.821428571,0.452380952,0.636904762,0.238095238,0.285714286,0.238095238,0.142857143,0.30952381,0.357142857,0.214285714,0.214285714
5608,18,female,0.80952381,0.5,0.654761905,0.452380952,0.357142857,0.095238095,0.095238095,0.428571429,0.523809524,0.023809524,0.023809524
5609,19,female,0.595238095,0.476190476,0.535714286,0.214285714,0.166666667,0.285714286,0.285714286,0,0,0.5,0.547619048
5610,21,female,0.761904762,0.523809524,0.642857143,0.261904762,0.285714286,0.166666667,0.333333333,0,0,0.571428571,0.380952381
5611,19,female,0.547619048,0.642857143,0.595238095,0.452380952,0.238095238,0.285714286,0.30952381,0.095238095,0.095238095,0.166666667,0.357142857
5612,20,female,0.726190476,0.404761905,0.56547619,0.357142857,0.19047619,0.119047619,0.142857143,0.214285714,0.428571429,0.30952381,0.238095238
5613,18,female,0.75,0.30952381,0.529761905,0.095238095,0.119047619,0.19047619,0.214285714,0.547619048,0.547619048,0.166666667,0.119047619
5614,21,female,0.761904762,0.535714286,0.648809524,0.333333333,0.547619048,0.142857143,0.047619048,0.380952381,0.261904762,0.142857143,0.142857143
5616,19,female,0.69047619,0.44047619,0.56547619,0.214285714,0.214285714,0.261904762,0.19047619,0.166666667,0.19047619,0.357142857,0.404761905
5617,21,male,0.833333333,0.547619048,0.69047619,0.285714286,0.333333333,0.285714286,0.19047619,0.142857143,0.119047619,0.285714286,0.357142857
5618,23,male,0.464285714,0.619047619,0.541666667,0,0,0.666666667,0.571428571,0,0,0.333333333,0.428571429
5619,20,male,0.69047619,0.619047619,0.654761905,0.619047619,0.619047619,0,0,0.380952381,0.380952381,0,0
5620,18,male,0.797619048,0.404761905,0.601190476,0.166666667,0.19047619,0.238095238,0.214285714,0.428571429,0.285714286,0.166666667,0.30952381
5621,19,male,0.678571429,0.476190476,0.577380952,0.238095238,0.142857143,0.333333333,0.238095238,0.047619048,0.071428571,0.380952381,0.547619048
5622,19,male,0.595238095,0.666666667,0.630952381,0.452380952,0.404761905,0.285714286,0.19047619,0.261904762,0.166666667,0,0.238095238
5623,18,male,0.5,0.630952381,0.56547619,0.19047619,0.261904762,0.404761905,0.404761905,0.095238095,0.071428571,0.30952381,0.261904762
5625,19,male,0.642857143,0.5,0.571428571,0.30952381,0.357142857,0.166666667,0.166666667,0.214285714,0.238095238,0.30952381,0.238095238
5626,22,male,0.80952381,0.321428571,0.56547619,0.095238095,0.047619048,0.261904762,0.238095238,0.047619048,0.023809524,0.595238095,0.69047619
5644,20,male,0.583333333,0.666666667,0.625,0.5,0.357142857,0.214285714,0.261904762,0.119047619,0.095238095,0.166666667,0.285714286
5645,19,male,0.797619048,0.523809524,0.660714286,0.238095238,0.214285714,0.285714286,0.30952381,0.071428571,0.119047619,0.404761905,0.357142857
5646,19,male,0.797619048,0.55952381,0.678571429,0.357142857,0.285714286,0.261904762,0.214285714,0.142857143,0.095238095,0.238095238,0.404761905
5647,22,male,0.178571429,0.916666667,0.547619048,0.142857143,0.119047619,0.785714286,0.785714286,0.047619048,0.047619048,0.023809524,0.047619048
5648,18,male,0.535714286,0.642857143,0.589285714,0.214285714,0.119047619,0.452380952,0.5,0.119047619,0.095238095,0.214285714,0.285714286
5649,19,male,0.428571429,0.619047619,0.523809524,0.142857143,0.285714286,0.404761905,0.404761905,0.166666667,0.095238095,0.285714286,0.214285714
5650,20,male,0.654761905,0.595238095,0.625,0.30952381,0.19047619,0.333333333,0.357142857,0.19047619,0.166666667,0.166666667,0.285714286
5651,19,male,0.880952381,0.321428571,0.601190476,0.142857143,0.047619048,0.214285714,0.238095238,0.166666667,0.261904762,0.476190476,0.452380952
5652,21,male,0.630952381,0.619047619,0.625,0.071428571,0.261904762,0.571428571,0.333333333,0.095238095,0.119047619,0.261904762,0.285714286
5653,19,male,0.630952381,0.511904762,0.571428571,0.19047619,0.238095238,0.333333333,0.261904762,0.285714286,0.238095238,0.19047619,0.261904762
5654,20,male,0.583333333,0.75,0.666666667,0.785714286,0.714285714,0,0,0.166666667,0.19047619,0.047619048,0.095238095
9998,18,male,0.464285714,0.666666667,0.56547619,0.595238095,0.523809524,0.119047619,0.095238095,0.285714286,0.380952381,0,0
