Tm,League,Year,NumBat,BatAge,RpG,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPSplus,TB,GDP,HBP,SH,SF,IBB,LOB
ARI,NL,2015,50,26.6,4.44,162,6276,5649,720,1494,289,48,154,680,132,44,490,1312,0.264,0.324,0.414,0.738,99,2341,134,33,46,57,40,1153
ATL,NL,2015,60,28.8,3.54,162,6034,5420,573,1361,251,18,100,548,69,33,471,1107,0.251,0.314,0.359,0.674,89,1948,148,44,67,31,39,1145
BAL,AL,2015,43,27.9,4.4,162,6007,5485,713,1370,246,20,217,686,44,25,418,1331,0.25,0.307,0.421,0.728,96,2307,127,51,20,32,23,990
BOS,AL,2015,44,28.3,4.62,162,6237,5640,748,1495,294,33,161,706,71,27,478,1148,0.265,0.325,0.415,0.74,98,2338,127,46,30,42,28,1142
CHC,NL,2015,50,26.9,4.25,162,6200,5491,689,1341,272,30,171,657,95,37,567,1518,0.244,0.321,0.398,0.719,96,2186,101,74,32,35,47,1165
CHW,AL,2015,31,28.2,3.84,162,6070,5533,622,1381,260,27,136,595,68,42,404,1231,0.25,0.306,0.38,0.686,91,2103,125,65,30,37,22,1065
CIN,NL,2015,50,29.5,3.95,162,6196,5571,640,1382,257,27,167,613,134,38,496,1255,0.248,0.312,0.394,0.706,92,2194,112,42,47,40,38,1148
CLE,AL,2015,38,27.9,4.16,161,6109,5439,669,1395,303,29,141,640,86,28,533,1157,0.256,0.325,0.401,0.725,94,2179,134,39,47,50,34,1147
COL,NL,2015,51,28,4.55,162,6071,5572,737,1479,274,49,186,702,97,43,388,1283,0.265,0.315,0.432,0.748,89,2409,114,33,44,34,47,1016
DET,AL,2015,40,28.3,4.28,161,6159,5605,689,1515,289,49,151,660,83,51,455,1259,0.27,0.328,0.42,0.748,106,2355,152,41,23,35,36,1111
HOU,AL,2015,39,26.6,4.5,162,6073,5459,729,1363,278,26,230,691,121,48,486,1392,0.25,0.315,0.437,0.752,105,2383,102,56,28,43,22,1036
KCR,AL,2015,36,29.2,4.47,162,6116,5575,724,1497,300,42,139,689,104,34,383,973,0.269,0.322,0.412,0.734,98,2298,133,77,34,47,28,1079
LAA,AL,2015,43,28.7,4.08,162,5990,5417,661,1331,243,21,176,621,52,34,435,1150,0.246,0.307,0.396,0.702,97,2144,116,58,37,40,34,1013
LAD,NL,2015,55,29.6,4.12,162,6090,5385,667,1346,263,26,187,638,59,34,563,1258,0.25,0.326,0.413,0.739,105,2222,135,60,49,30,31,1121
