Sex,Age,Race,LLGive,LLTouch,LLService,LLTime,LLWords,GiftsReceive,TouchReceive,ServiceReceive,TimeReceive,WordsReceive,GiftsGive,TouchGive,ServiceGive,TimeGive,WordsGive
Female,18,Caucasian,35,33,44,36,47,5,4,3,2,1,4,5,1,3,2
Female,19,Caucasian,43,28,51,39,46,5,3,4,2,1,3,4,1,2,5
Female,18,Caucasian,38,47,54,47,66,4,1,5,2,3,5,1,3,2,4
Male,20,African American,54,54,71,59,68,5,4,3,1,2,5,4,3,1,2
Male,18,Hispanic,34,46,53,46,58,5,3,4,2,1,5,3,4,1,2
Female,18,Caucasian,47,53,56,53,69,5,2,4,1,3,5,2,4,1,3
Female,20,Caucasian,33,46,40,42,55,4,1,2,3,5,4,1,3,2,5
Female,18,Caucasian,30,36,41,37,47,5,1,4,2,3,5,1,4,2,3
Female,18,Caucasian,41,42,52,44,59,5,3,4,1,2,5,3,4,2,1
Female,18,Caucasian,50,49,58,48,66,1,3,4,5,2,1,3,5,4,2
Male,19,Caucasian,43,35,57,48,60,4,2,5,1,3,3,5,4,1,2
Male,19,Caucasian,53,54,63,54,72,5,2,4,1,3,5,2,3,1,4
Female,19,Caucasian,40,29,56,44,55,2,5,4,3,1,1,5,3,2,4
Female,18,Caucasian,42,54,60,53,65,5,1,4,2,3,5,1,4,2,3
Female,19,Caucasian,17,38,55,55,59,4,5,3,2,1,4,5,3,1,2
Female,18,Caucasian,34,35,61,44,58,5,3,1,2,4,5,4,1,2,3
Female,18,Caucasian,37,42,54,49,64,5,2,4,1,3,5,4,3,1,2
Female,18,Caucasian,44,48,65,57,70,2,5,3,1,4,4,2,1,5,3
Female,18,Caucasian,14,36,24,39,36,5,4,3,2,1,5,4,3,1,2
Female,18,Caucasian,9,16,23,24,36,5,3,4,1,2,5,3,4,1,2
Female,18,Caucasian,29,31,42,43,46,5,4,3,1,2,4,5,2,1,3
Female,18,Caucasian,41,43,52,48,55,5,2,4,1,3,5,3,4,1,2
Female,18,Caucasian,39,51,69,58,72,5,3,2,1,4,5,3,2,1,4
Female,18,Caucasian,52,54,68,51,72,4,3,5,2,1,4,1,5,3,2
Female,18,Caucasian,46,42,62,53,70,5,3,4,1,2,5,4,3,1,2
Female,18,Caucasian,52,47,65,54,67,5,3,4,2,1,1,3,4,5,2
Female,18,Caucasian,53,38,70,56,67,5,4,2,1,3,5,4,2,1,3
Female,18,Caucasian,54,44,54,52,56,2,3,5,1,4,1,3,5,2,4
Female,18,Caucasian,30,32,58,46,54,4,5,3,2,1,4,5,3,2,1
Female,19,Caucasian,48,45,53,49,60,1,2,5,4,3,1,3,5,4,2
Female,19,Native American,54,54,70,55,72,1,3,2,5,4,1,5,2,4,3
Male,18,Caucasian,42,53,61,51,71,4,1,5,2,3,4,1,5,2,3
Female,18,Caucasian,52,51,64,50,71,5,1,4,2,3,5,1,2,4,3
Female,18,Caucasian,10,9,12,12,13,3,5,2,1,4,3,4,1,2,5
Female,18,Caucasian,34,50,45,50,58,5,2,4,1,3,5,1,4,2,3
Female,18,Caucasian,54,53,70,58,72,5,4,2,1,3,3,5,4,1,2
Female,21,Caucasian,54,54,72,59,72,5,1,4,2,3,5,1,4,2,3
Female,18,Caucasian,28,37,43,40,46,5,2,1,3,4,5,2,3,1,4
Female,21,Caucasian,44,49,58,53,69,5,2,4,3,1,5,1,4,2,3
Female,18,Caucasian,44,47,60,50,60,4,3,5,2,1,4,5,2,3,1
Female,19,Caucasian,48,54,60,54,71,5,1,4,2,3,4,3,5,1,2
Female,18,Caucasian,43,44,68,51,71,4,3,5,1,2,5,3,4,2,1
Male,21,Caucasian,46,47,52,53,64,5,1,4,2,3,4,1,5,3,2
