ID,AGE,CONFIDNT,ASSERTIV,COGNITIV,OUTGOING,DEPENDBL,WARMHSTL,SEX,ATTRACT,BABYFACE,FWHR
B055,ADOL,-0.96213,4.63501,-1.60341,5.00043,1.82002,-2.44213,F,0,0,2.313946766
B015,ADOL,-0.56083,3.48796,-5.23001,2.87108,1.98966,-4.04444,M,3.81,4.31,1.879820379
G059,ADOL,-0.37389,3.53692,-1.59497,-5.62425,7.76653,-1.9435,M,0,0,1.832240487
G079,ADOL,1.38897,-0.34885,-1.949,-1.28329,2.01232,0.24467,M,0,0,1.763126932
B029,ADOL,1.15418,-0.91122,-4.07343,-0.99939,6.69428,-4.2205,F,2.56,5.19,1.658174595
G112,ADOL,-1.13631,5.46187,0.06683,-3.3243,6.96747,-5.65326,M,0,0,1.545586652
G154,ADOL,2.14849,0.64418,1.63771,5.26916,6.36832,-3.41509,M,4.77,4,1.222773761
G151,ADOL,1.2433,1.4978,-4.0694,3.14529,7.63164,6.57956,F,3.44,2.88,1.219529412
G098,ADOL,-1.83185,4.1995,-4.79822,3.29636,2.25678,-4.34771,F,1.94,4.19,1.108670231
B044,ADOL,1.75795,-0.93568,-4.77972,2.07791,6.46607,-0.01626,F,0,0,1.047697006
B033,ADOL,0.44705,1.06887,-4.13394,1.52341,1.68902,-3.73128,M,3,4.81,0.814149763
G072,ADOL,0.31081,1.52664,-5.1694,1.18742,0.74274,1.8398,M,3.73,4.07,0.744084209
B057,ADOL,-3.04923,2.79073,-6.12111,1.54041,2.71065,-1.78696,F,3.06,4.8,0.62202889
G132,ADOL,1.79481,0.6534,-4.70848,1.72276,4.63067,-2.89922,F,3.43,3,0.602853204
B012,ADOL,3.52485,-2.151,0.04332,1.90951,4.53226,3.40466,F,2.5,3.87,0.579316835
G082,ADOL,1.971,1.99368,4.1309,1.72136,6.56175,2.76384,F,2.56,4.56,0.516768389
G065,ADOL,1.56868,2.656,2.32776,5.09125,1.18402,0.51783,F,0,0,0.485839847
G085,ADOL,-1.79979,3.83047,-5.20885,-1.62656,0.25678,-5.23573,F,3.88,4.19,0.462293296
G070,ADOL,-0.59385,-2.04069,-1.23238,-1.61514,3.67155,4.51581,M,0,0,0.457706446
B049,ADOL,3.85039,1.09077,1.81234,3.68336,7.61215,1.37318,F,3.5,5.53,0.453247138
G094,ADOL,1.22585,0.32411,-3.13433,2.54267,3.59192,1.67295,F,5.13,4.56,0.436454813
G107,ADOL,2.57445,4.88686,-1.10167,1.20751,9.17013,-5.85727,M,0,0,0.400595303
B092,ADOL,3.86784,2.62018,2.07633,5.68836,4.30282,-3.00744,F,3.81,4.64,0.342093377
B077,ADOL,2.63886,-0.4003,0.12273,0.4135,7.33417,3.19266,F,0,0,0.200841072
G179,ADOL,-1.32027,5.86854,1.10062,2.04632,4.47065,-2.01503,F,2.88,5,0.127570126
G153,ADOL,-1.40659,5.49427,-2.31523,0.32469,1.81863,-8.00409,M,4.27,2.91,2.0872727
G066,ADOL,4.45963,2.35027,1.4398,2.76432,7.97663,-1.21912,F,0,0,-0.032908802
G073,ADOL,0.33072,3.94404,-4.61534,3.11445,4.9728,-4.91401,F,2.81,3.2,-0.052108887
B068,ADOL,-1.44148,-1.75139,-0.93665,-0.43754,4.55884,0.75282,F,3.31,4.4,-0.108432516
G127,ADOL,0.04103,1.64347,-2.64239,4.20322,3.4748,-1.84771,F,4.44,4.06,-0.110670791
B004,ADOL,0.21597,-0.36036,-2.94234,1.4434,6.55381,4.52546,M,2.4,5,-0.119161922
G146,ADOL,-1.98026,-0.82936,1.36518,-2.12582,7.62341,2.94921,F,2.31,4.06,-0.171747499
B011,ADOL,-1.88516,5.8183,-0.39823,-0.25503,9.45455,-1.28452,M,3.5,4.06,-0.206835117
G097,ADOL,-2.569,2.47415,0.29025,-1.63309,2.22985,0.3291,M,3.2,4.77,-0.285190361
B073,ADOL,-1.59216,1.96192,-4.23206,-4.05042,5.91671,0.66255,M,4.75,4.63,-0.394671644
G108,ADOL,1.06717,0.66731,-2.359,-0.09641,8.14577,3.62051,M,4,3.53,-0.416608814
B025,ADOL,-1.00773,4.6318,-6.13944,-0.44981,4.18033,-4.23638,M,2.5,4.75,-0.462149968
