,ID,raterage,ratergender,ag.rate,at.rate,ba.rate,co.rate,he.rate,un.rate,faceage,facegender
1,of0922,old,F,4.458333333,3.104166667,2.916666667,4.145833333,3.395833333,3.4375,oldface,maleface
2,of0922,old,F,4.45,3.1,2.35,4.55,3.8,3.05,oldface,femaleface
3,of0922,old,F,3.829268293,3.170731707,2.634146341,4.243902439,3.12195122,3.634146341,youngface,maleface
4,of0922,old,F,3.785714286,3.714285714,3.035714286,4.321428571,3.535714286,3.571428571,youngface,femaleface
5,of1222,old,F,4.041666667,2.270833333,1.0625,3.6875,3.916666667,4.229166667,oldface,maleface
6,of1222,old,F,4.5,2.85,1.05,5.65,5.1,3.95,oldface,femaleface
7,of1222,old,F,4.146341463,2.341463415,1.56097561,4.463414634,4.43902439,5.317073171,youngface,maleface
8,of1222,old,F,4.321428571,3.785714286,1.321428571,4.25,5.321428571,3.5,youngface,femaleface
9,of1822,old,F,4.666666667,2.520833333,2.354166667,3.666666667,3.75,4.541666667,oldface,maleface
10,of1822,old,F,4.25,3.55,2.5,3.75,4.05,3.65,oldface,femaleface
11,of1822,old,F,4.463414634,2.731707317,3.463414634,3.829268293,4.195121951,3.341463415,youngface,maleface
12,of1822,old,F,4.25,3.678571429,2.285714286,4.142857143,4.107142857,4.035714286,youngface,femaleface
13,of2622,old,F,3.8125,3.770833333,2.125,4.541666667,3.729166667,3.145833333,oldface,maleface
14,of2622,old,F,3.8,4.2,3.65,4.9,4.5,2.95,oldface,femaleface
15,of2622,old,F,4.414634146,3,2.731707317,4.243902439,4.512195122,3.804878049,youngface,maleface
16,of2622,old,F,3.964285714,2.892857143,2.892857143,4.571428571,4.142857143,3.785714286,youngface,femaleface
17,of2722,old,F,4.270833333,2.625,3.375,3.875,4.104166667,4.4375,oldface,maleface
18,of2722,old,F,4.1,3.55,3.05,4.25,4.95,4.15,oldface,femaleface
19,of2722,old,F,4.390243902,3.024390244,2.585365854,3.829268293,3.926829268,4.390243902,youngface,maleface
20,of2722,old,F,4.25,3.607142857,3.071428571,3.642857143,4.607142857,4.285714286,youngface,femaleface
21,of3222,old,F,2.833333333,2.833333333,3,4.666666667,4.625,2.729166667,oldface,maleface
22,of3222,old,F,3.2,3.7,4.3,4.7,5.4,2.1,oldface,femaleface
