FaceSex,FaceAgeGroup,FaceAge,subject,face.a,ag.old,ag.young,at.old,at.young,ba.old,ba.young,co.old,co.young,he.old,he.young,un.old,un.young
M,OA,53,B009,OM1g1r,2.0625,2.375,3.6875,2.5,3.0625,2.4375,4.375,4.125,4.75,4.3125,2.8125,3.5
F,OA,54,B022,OW2g13r,1.375,2.5625,5.25,4.9375,2.6875,3.5,5.178571429,5.375,5.875,5.6875,2.5625,2.125
M,OA,53,B038,OM1g3r,2,2.5,3.875,2.75,3.1875,3.026785714,4.75,4.3125,4.875,3.3125,3.125,3.6875
M,OA,53,B041,OM1g4r,4.75,4.3125,3.4375,2.375,2.5625,2.053571429,4.6875,4.3125,4.625,3.5,3.375,4.5
F,OA,53,B044,OW1g5r,2,2.875,3.5625,3,3.5,2.616071429,4.5625,4.5,5,4.625,3.0625,4
F,OA,53,B045,OW1g6r,3.125,3.1875,2.9375,1.6875,3.9375,4.651785714,3.8125,3.3125,3.875,2.375,3.625,4.125
M,OA,53,B046,OM1g6r,2.8125,2.9375,3.375,2.5,3.5625,2.982142857,4.0625,4.875,4.0625,3.3125,3.3125,3.625
F,OA,53,B052,OW1g7r,1.75,1.6875,4.8125,4.75,3.625,3.008928571,5.125,5.3125,5.375,5.5625,2.375,2.375
M,OA,53,B056,OM1g10r,3.9375,4.25,2.5625,2.4375,3.25,3.008928571,3.625,3.1875,3.375,2.6875,4.125,5
F,OA,53,B057,OW2g2r,2.875,4.5625,3.125,1.9375,2.0625,2.625,4.330357143,3.75,3.9375,3.6875,3.375,5
M,OA,53,B058,OM1g11r,2.9375,3.4375,3.375,2.625,3.125,3.232142857,4.4375,4.5625,4.625,4.3125,3.0625,3.3125
F,OA,52,B068,OW2g1r,1.875,2.8125,3.75,2.375,3.178571429,3.375,4.232142857,4.125,4.875,4.5,2.75,3.3125
F,OA,53,B077,OW1g10r,4.6875,4.6875,2.5,2,1.8125,1.732142857,3.375,3.5625,3.1875,2.9375,4.25,5.1875
F,OA,53,B090,OW1g11r,3.1875,3.5625,2.5625,1.8125,2.4375,2.339285714,3.875,4.125,3.25,3.375,3.125,3.25
F,OA,53,B091,OW1g12r,2.75,2.9375,4.5,4.25,3.125,2.830357143,4.75,4.6875,5.0625,4.6875,2.625,3.25
F,OA,53,C063,OW1g15r,3.25,3,3.6875,3.375,3.625,4.035714286,3.875,4.75,4.125,4.0625,3,2.75
F,OA,54,C066,OW1g16r,2.0625,2.625,3.8125,3,3.75,3.473214286,4.125,3.5,4.75,4.125,2.8125,4.3125
M,OA,53,C069,OM1g15r,4.0625,3.9375,2.8125,2.75,3.125,2.660714286,4.0625,3.875,4.1875,3.75,4.0625,3.9375
F,OA,54,C073,OW1g17r,2.25,2.5,2.5,1.875,3.875,3.758928571,3.875,3.75,3.375,2.1875,3.1875,3.25
F,OA,54,C083,OW1g18r,3.75,2.875,3.0625,2.3125,2.5,2.928571429,4,4,4.1875,3.9375,3.0625,3.3125
F,OA,54,C084,OW1g19r,3.5625,2.5625,3.125,2.5625,2.625,2.571428571,3.6875,4.6875,4.1875,3.875,3.3125,3
F,OA,53,C085,OW1g20r,2.25,3.0625,2.75,2.0625,2.375,1.991071429,3.8125,3.875,4.125,3.5,3.375,3.5625
F,OA,54,C087,OW1g21r,4.0625,3.9375,3.0625,3.125,2.0625,1.776785714,4.6875,4.875,4.5625,4.375,3.0625,4.0625
