subject,emotion,gaze,RT,acc
1,Anger,Direct,691.8309709,0.93
2,Anger,Direct,891.2509381,0.88
3,Anger,Direct,741.3102413,0.95
4,Anger,Direct,831.7637711,0.97
5,Anger,Direct,794.3282347,1
6,Anger,Direct,630.9573445,0.97
7,Anger,Direct,602.5595861,0.88
8,Anger,Direct,776.2471166,0.98
9,Anger,Direct,676.0829754,0.9
10,Anger,Direct,794.3282347,0.97
11,Anger,Direct,812.8305162,0.85
12,Anger,Direct,794.3282347,0.92
13,Anger,Direct,660.693448,0.98
14,Anger,Direct,630.9573445,1
15,Anger,Direct,812.8305162,0.9
16,Anger,Direct,812.8305162,0.93
17,Anger,Direct,707.9457844,0.88
18,Anger,Direct,794.3282347,0.92
19,Anger,Direct,776.2471166,0.98
20,Anger,Direct,524.8074602,0.9
21,Anger,Direct,977.237221,0.95
22,Anger,Direct,851.1380382,0.75
23,Anger,Direct,912.0108394,0.92
24,Anger,Direct,933.2543008,0.97
25,Anger,Direct,870.96359,0.98
26,Anger,Direct,851.1380382,0.97
27,Anger,Direct,891.2509381,0.97
28,Anger,Direct,794.3282347,0.95
29,Anger,Direct,812.8305162,0.98
30,Anger,Direct,794.3282347,0.93
31,Anger,Direct,912.0108394,0.88
32,Anger,Direct,851.1380382,0.97
33,Anger,Direct,776.2471166,0.95
34,Anger,Direct,812.8305162,0.97
35,Anger,Direct,891.2509381,1
36,Anger,Direct,831.7637711,0.97
37,Anger,Direct,870.96359,0.98
38,Anger,Direct,812.8305162,0.95
39,Anger,Direct,831.7637711,0.9
40,Anger,Direct,1071.519305,0.98
41,Anger,Direct,1122.018454,0.93
42,Anger,Direct,1202.264435,0.95
43,Anger,Direct,1047.128548,0.98
44,Anger,Direct,1122.018454,0.9
45,Anger,Direct,1202.264435,0.95
46,Anger,Direct,1047.128548,0.97
47,Anger,Direct,1202.264435,0.88
48,Anger,Direct,1174.897555,0.98
49,Anger,Direct,1122.018454,0.97
50,Anger,Direct,1288.249552,0.9
51,Anger,Direct,1174.897555,0.88
52,Anger,Direct,1071.519305,0.97
53,Anger,Direct,954.992586,0.93
54,Anger,Direct,1479.108388,0.83
55,Anger,Direct,1258.925412,0.93
56,Anger,Direct,1479.108388,0.97
57,Anger,Direct,1513.561248,0.92
58,Anger,Direct,1000,0.87
59,Anger,Direct,1122.018454,0.82
60,Anger,Direct,1148.153621,1
1,Anger,Averted,691.8309709,0.92
2,Anger,Averted,851.1380382,0.83
3,Anger,Averted,724.4359601,0.93
4,Anger,Averted,812.8305162,0.83
