subjcode,Sex,AgeGroup,MindEye,Snellen,MarsForm1,MarsForm2,BentonFaceRecog,Pattern,Shipley,Age
FIIGS0922,2,2,28,15,1.64,1.68,50,23,38,81
FIIGS8522,2,2,30,30,1.68,1.44,45,30,35,79
FIIGS3621,1,2,27,25,1.64,1.44,52,35,40,79
FIIGS6621,1,2,22,25,1.44,1.64,45,23,35,78
FIIGS4021,1,2,26,30,1.12,1.2,43,27,36,78
FIIGS2522,2,2,27,30,1.6,1.76,49,21,28,76
FIIGS3922,2,2,25,30,1.56,1.56,43,33,36,74
FIIGS2722,2,2,24,25,1.56,1.44,50,27,33,73
FIIGS4822,2,2,26,40,1.68,1.68,45,30,33,73
FIIGS3822,2,2,26,25,1.64,1.6,41,38,40,73
FIIGS4521,1,2,24,40,1.2,1.2,47,31,36,73
FIIGS4921,1,2,24,25,1.72,1.76,43,34,36,73
FIIGS3522,2,2,27,40,1.76,1.76,50,26,37,73
FIIGS3421,1,2,20,20,1.44,1.44,45,31,35,71
FIIGS7121,1,2,21,40,1.72,1.72,43,28,36,71
FIIGS4421,1,2,23,50,1.4,1.44,47,26,27,71
FIIGS5121,1,2,27,40,1.56,1.76,49,33,39,70
FIIGS5021,1,2,26,25,1.44,1.44,47,27,36,69
FIIGS3222,2,2,13,40,1.56,1.68,49,37,37,69
FIIGS4221,1,2,26,25,1.72,1.72,50,29,36,68
FIIGS2221,1,2,24,40,1.4,1.68,39,24,35,67
FIIGS4322,2,2,31,30,1.6,1.76,47,28,39,66
FIIGS2922,2,2,26,20,1.64,1.72,41,21,30,66
FIIGS3322,2,2,28,100,1.36,1.16,47,29,32,66
FIIGS6322,2,2,26,15,1.68,1.68,49,27,39,66
FIIGS3122,2,2,23,50,1.76,1.72,54,41,34,65
FIIGS2321,1,2,,20,1.68,1.68,50,28,37,65
FIIGS5421,1,2,26,30,1.6,1.84,49,32,37,65
FIIGS2622,2,2,27,50,1.68,1.76,45,16,38,65
FIIGS7612,2,1,28,30,1.76,1.76,45,45,34,21
FIIGS1511,1,1,28,20,1.76,1.76,45,40,30,21
FIIGS6011,1,1,19,13,1.76,1.76,49,48,33,20
FIIGS7211,1,1,12,40,1.68,1.32,43,31,28,20
FIIGS7511,1,1,26,20,1.76,1.4,45,46,34,20
FIIGS6411,1,1,23,30,1.76,1.44,39,41,31,19
FIIGS7012,2,1,25,25,1.72,1.68,49,47,33,19
FIIGS8612,2,1,18,25,1.76,1.6,43,43,34,19
FIIGS6212,2,1,25,30,1.76,1.76,43,39,30,19
FIIGS7711,1,1,18,15,1.68,1.72,41,39,33,19
FIIGS1112,2,1,29,20,1.8,1.56,47,51,33,19
FIIGS5711,1,1,21,40,1.76,1.64,47,46,29,19
FIIGS1411,1,1,23,15,1.76,1.76,47,48,34,19
FIIGS6512,2,1,14,13,1.76,1.64,52,38,25,19
FIIGS0212,2,1,32,20,1.72,1.68,52,44,32,19
FIIGS1011,1,1,24,15,1.72,1.68,47,40,25,19
FIIGS5811,1,1,18,20,1.76,1.6,39,42,31,19
FIIGS8112,2,1,26,20,1.76,1.44,49,55,30,19
FIIGS1312,2,1,25,15,1.64,1.44,45,39,24,18
FIIGS0412,2,1,31,15,1.76,1.6,43,37,35,18
FIIGS1911,1,1,19,25,1.76,1.44,47,32,24,18
FIIGS2011,1,1,30,15,1.76,1.32,45,41,27,18
FIIGS0711,1,1,28,30,1.8,1.76,45,51,34,18
FIIGS8311,1,1,27,20,1.8,1.2,52,45,31,18
FIIGS6911,1,1,27,20,1.72,1.36,49,45,38,18
FIIGS7911,1,1,21,20,1.76,1.76,45,32,28,18
FIIGS5612,2,1,24,20,1.76,1.76,49,32,29,18
FIIGS0312,2,1,26,30,1.64,1.12,49,47,28,18
FIIGS0612,2,1,27,14,1.88,1.76,52,36,30,18
FIIGS6812,2,1,26,20,1.68,1.44,49,41,32,18
FIIGS0112,2,1,22,25,1.84,1.6,49,36,29,18
FIIGS1812,2,1,28,15,1.76,1.56,50,45,26,18
FIIGS7412,2,1,23,40,1.76,1.6,47,38,32,18
FIIGS5512,2,1,31,15,1.68,1.76,49,46,37,18
FIIGS0811,1,1,26,15,1.64,1.68,49,44,29,18
FIIGS8212,2,1,25,25,1.68,1.44,47,44,36,18
FIIGS7312,2,1,26,15,1.76,1.76,50,41,28,18
FIIGS5912,2,1,22,20,1.76,1.76,50,37,30,18
FIIGS7811,1,1,31,20,1.72,1.6,50,39,33,18
FIIGS5312,2,1,31,15,1.76,1.8,47,34,37,18
FIIGS6711,1,1,26,20,1.76,1.76,43,44,30,18
FIIGS0512,2,1,21,20,1.64,1.56,45,38,26,18
FIIGS1611,1,1,18,30,1.76,1.64,47,38,27,18
FIIGS6111,1,1,28,30,1.68,1.04,49,50,30,18
FIIGS5211,1,1,14,30,1.72,1.8,43,44,26,18
FIIGS1712,2,1,28,20,1.76,1.8,45,44,23,17
FIIGS1211,1,1,25,13,1.76,1.76,43,45,33,18
FIIGS2111,1,1,20,20,1.64,1.64,50,40,35,18
FIIGS8012,2,1,32,13,1.76,1.6,49,40,32,17
FIIGS4621,1,2,28,40,1.44,1.4,39,26,40,83
FIIGS4722,2,2,26,30,1.44,1.64,41,29,31,83
FIIGS3722,2,2,28,40,1.4,1.2,43,24,38,83
FIIGS3021,1,2,18,70,1.16,1.2,32,17,33,82
FIIGS2421,1,2,22,30,1.4,1.48,45,25,30,82
FIIGS4121,1,2,19,25,1.56,1.44,47,34,35,82
CLOS0112,2,1,30,20,1.76,1.6,50,55,33,21
CLOS0312,2,1,24,13,1.76,1.76,49,48,39,19
CLOS0412,2,1,19,25,1.52,1.4,50,47,38,18
CLOS0712,2,1,25,30,1.76,1.76,45,54,39,23
CLOS0811,1,1,19,30,1.72,1.6,47,52,33,20
CLOS0912,2,1,21,40,1.72,1.72,52,41,24,23
CLOS1012,2,1,29,25,1.68,1.72,50,37,32,20
CLOS1112,2,1,27,40,1.56,1.68,36,47,30,22
CLOS1412,2,1,30,15,1.76,1.76,50,50,31,20
CLOS1611,1,1,26,15,1.76,1.44,50,37,29,19
CLOS1812,2,1,29,15,1.44,0.96,39,35,35,22
CLOS2111,1,1,26,15,1.76,1.64,50,26,40,21
CLOS2411,1,1,32,13,1.72,1.44,50,35,33,22
CLOS2511,1,1,27,25,1.72,1.72,43,34,32,21
CLOS2811,1,1,33,20,1.72,1.6,50,35,34,21
CLOS3011,1,1,32,25,1.76,1.76,49,55,35,21
CLOS3111,1,1,24,25,1.68,1.76,43,51,36,21
CLOS0222,2,2,24,40,1.44,0.92,43,31,37,80
CLOS0522,2,2,25,40,1.32,1.36,49,28,36,71
CLOS0621,1,2,31,40,1.6,1.64,47,25,40,79
CLOS1221,1,2,30,30,1.6,1.76,49,21,38,76
CLOS1321,1,2,30,25,1.56,1.76,45,26,36,76
CLOS1521,1,2,23,40,1.64,1.44,47,25,32,75
CLOS1721,1,2,26,40,1.56,1.32,49,26,37,80
CLOS1922,2,2,31,50,1.44,1.44,41,28,35,81
CLOS2022,2,2,25,40,1.12,1.16,47,19,38,85
CLOS2222,2,2,25,15,1.72,1.6,52,31,39,65
CLOS2321,1,2,30,40,1.52,1.6,47,21,38,75
CLOS2621,1,2,24,50,1.4,1.68,43,23,37,80
CLOS2722,2,2,33,25,1.56,1.44,47,26,36,69
CLOS2922,2,2,30,40,1.48,1.4,41,26,37,76
