StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2_1,Q2_2,Q2_3,Q3_1,Q3_2,Q3_3,Q3_4,Q4_1,Q4_2,Q4_3,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14_1,Q15,Q16,Q16_7_TEXT,SC0,SC1,SC2,SC3,SC4
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Welcome to the research study!  

 

We are interested in understanding how Southern Baptist Lead Pastors (or Senior Pastors) gain the trust of their congregations.  You will be presented with information relevant to your lead pastor's characteristics from your perspective and asked to answer some questions about it. Please be assured that your responses will be kept completely confidential and totally anonymous.   No personally identifying information will be collected, so there will be no way to trace any answers back to you, your church, or your pastor.



This study is being conducted by Jared Thompson (Principal Investigator) under the supervision of Dr. Robert Franklin (Faculty Supervisor). If you would like to contact the Principal Investigator in the study to discuss this research, please e-mail Jared at jthompson107@andersonuniversity.edu.



The survey should take you 5 minutes or less to complete. Your participation in this research is voluntary. You have the right to withdraw at any point during the study, for any reason, and without any prejudice.



By clicking the button below, you acknowledge that your participation in the study is voluntary, you are 18 years of age, that you attend a Southern Baptist church, and that you are aware that you may choose to terminate your participation in the study at any time and for any reason.



Please note that this survey will be best displayed on a laptop or desktop computer.  Some features may be less compatible for use on a mobile device. 
If you have any questions, we invite you to ask them now. If you have questions later, Jared Thompson (jthompson107@andersonuniversity.edu) will be happy to answer 
them. For more information regarding your rights as a research participant you may contact the Chair of the 
Human Subjects Committee/Institutional Review Board by phone or e-mail.  The HSC Chair, Dr. Robert 
Franklin, can be reached at (864) 231-2000 (hsc@andersonuniversity.edu).",Please rate the following based on your perception of how true each characteristic is of your pastor. - How friendly is your pastor?,Please rate the following based on your perception of how true each characteristic is of your pastor. - How caring is your pastor?,Please rate the following based on your perception of how true each characteristic is of your pastor. - How sincere is your pastor?,Please rate the following based on your perception of how true each characteristic is of your pastor. - How confident is your pastor?,Please rate the following based on your perception of how true each characteristic is of your pastor. - How intelligent is your pastor?,Please rate the following based on your perception of how true each characteristic is of your pastor. - How capable is your pastor?,Please rate the following based on your perception of how true each characteristic is of your pastor. - How competent is your pastor?,Please rate the following in terms of how much you agree or disagree with each statement. - My pastor is extremely competent in his preaching.,Please rate the following in terms of how much you agree or disagree with each statement. - I feel like I learn a lot from my pastor's preaching.,Please rate the following in terms of how much you agree or disagree with each statement. - I feel very inspired by his preaching.,Please rate the following in terms of how much you agree or disagree with each statement. - My pastor follows through on what he says he will do.,"Please rate the following in terms of how much you agree or disagree with each statement. - When my pastor makes a mistake, he accepts responsibility.","Please rate the following in terms of how much you agree or disagree with each statement. - My pastor is honest, even when it is inconvenient.",Please rate the following in terms of how much you agree or disagree with each statement. - My pastor leads the church and its ministries in a consistent direction.,Please rate the following in terms of how much you agree or disagree with each statement. - My pastor is a steady leader.,Please rate the following in terms of how much you agree or disagree with each statement. - I feel quite confident my pastor will always try to treat me fairly.,Please rate the following in terms of how much you agree or disagree with each statement. - My pastor would never try to gain an advantage by deceiving others.,Please rate the following in terms of how much you agree or disagree with each statement. - I have complete faith in the integrity of my pastor.,Please rate the following in terms of how much you agree or disagree with each statement. - I feel a strong loyalty to my pastor.,Please rate the following in terms of how much you agree or disagree with each statement. - I would support my pastor in almost any emergency.,Would you say that your pastor is more intelligent or more friendly?,Would you say that your pastor is a better at preaching or better at interacting with people?,What is your gender?,How old are you?,How long have you known your pastor?,How often do you personally interact with your pastor?,How involved are you at your church?,Please answer this question on a scale of 1-5. - How well do you know your pastor?,What size church do you attend?,What is the predominant race within your congregation? - Selected Choice,What is the predominant race within your congregation? - Other - Text,Competence,Warmth,Competence_preaching,Consistency,Trust
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID21""}","{""ImportId"":""QID35_8""}","{""ImportId"":""QID35_5""}","{""ImportId"":""QID35_6""}","{""ImportId"":""QID38_4""}","{""ImportId"":""QID38_5""}","{""ImportId"":""QID38_6""}","{""ImportId"":""QID38_7""}","{""ImportId"":""QID22_1""}","{""ImportId"":""QID22_2""}","{""ImportId"":""QID22_3""}","{""ImportId"":""QID36_4""}","{""ImportId"":""QID36_5""}","{""ImportId"":""QID36_6""}","{""ImportId"":""QID36_14""}","{""ImportId"":""QID36_8""}","{""ImportId"":""QID37_9""}","{""ImportId"":""QID37_10""}","{""ImportId"":""QID37_11""}","{""ImportId"":""QID37_12""}","{""ImportId"":""QID37_13""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID33""}","{""ImportId"":""QID26""}","{""ImportId"":""QID28""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30_1""}","{""ImportId"":""QID32""}","{""ImportId"":""QID34""}","{""ImportId"":""QID34_7_TEXT""}","{""ImportId"":""SC_5mUy9Cg4w8YG9eK""}","{""ImportId"":""SC_b3EmFzifuQbalRs""}","{""ImportId"":""SC_8vx3Wc6djX18OzQ""}","{""ImportId"":""SC_6FNgLLoCV0zuqSG""}","{""ImportId"":""SC_cDeJxoQ3fgRDaaW""}"
2022-02-16 06:18:46,2022-02-16 06:21:23,Survey Preview,,100,157,True,2022-02-16 06:21:24,R_2AQEegkQTOgMYIH,,,,,34.1793975830078125,-83.90160369873046875,preview,EN,"I am 18 or older, attend a Southern Baptist church, and consent to begin the survey",,,,,,,,4. Agree,4. Agree,4. Agree,,,,,,,,,,,Much more intelligent,Much better at preaching,Male,,5-8 years,More than once per week,Leadership position,5. Quite Well,200-499,,,0,0,12,0,0
2022-02-17 08:48:32,2022-02-17 08:50:28,Survey Preview,,100,116,True,2022-02-17 08:50:30,R_1jVrpAiku9H5q6V,,,,,34.5251007080078125,-82.63069915771484375,preview,EN,"I am 18 or older, attend a Southern Baptist church, and consent to begin the survey",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
2022-02-17 09:41:29,2022-02-17 09:41:35,Survey Preview,,100,5,True,2022-02-17 09:41:36,R_sp9gslreLwxGoY9,,,,,34.5251007080078125,-82.63069915771484375,preview,EN,I do not meet the criteria and do NOT consent to begin the survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
2022-02-17 09:42:51,2022-02-17 09:51:09,Survey Preview,,100,497,True,2022-02-17 09:51:09,R_2wdf95UJnkCzB06,,,,,34.5251007080078125,-82.63069915771484375,preview,EN,"I am 18 or older, attend a Southern Baptist church, and consent to begin the survey",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
2022-03-22 15:00:02,2022-03-22 15:04:00,IP Address,207.191.190.125,100,238,True,2022-03-22 15:04:00,R_29gp5nrJ44swykn,,,,,34.6920013427734375,-85.26020050048828125,anonymous,EN,"I am 18 or older, attend a Southern Baptist church, and consent to begin the survey",5. Extremely,5. Extremely,5. Extremely,5. Extremely,5. Extremely,5. Extremely,5. Extremely,5. Strongly Agree,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,A little more friendly,A little better at interacting with people,Male,25-34 years old,8+ years,More than once per week,Leadership position,5. Quite Well,200-499,Predominantly White,,20,15,13,22,25
2022-03-22 15:08:48,2022-03-22 15:12:04,IP Address,108.254.108.36,100,195,True,2022-03-22 15:12:04,R_1ItSbKcP7ms2lr8,,,,,34.1793975830078125,-83.90160369873046875,anonymous,EN,"I am 18 or older, attend a Southern Baptist church, and consent to begin the survey",4. Very,4. Very,4. Very,4. Very,4. Very,4. Very,4. Very,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,A little more friendly,A little better at interacting with people,Male,35-44 years old,8+ years,Once per week,Regular volunteer,4. Well,200-499,Predominantly White,,16,12,12,20,20
2022-03-22 15:33:05,2022-03-22 15:35:57,IP Address,69.222.150.72,100,171,True,2022-03-22 15:35:57,R_1hXprfwcDuj0q3v,,,,,34.140594482421875,-83.7834014892578125,anonymous,EN,"I am 18 or older, attend a Southern Baptist church, and consent to begin the survey",5. Extremely,5. Extremely,4. Very,4. Very,4. Very,4. Very,4. Very,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,5. Strongly Agree,Much more friendly,Much better at interacting with people,Male,35-44 years old,2-4 years,More than once per week,Regular volunteer,4. Well,200-499,Predominantly White,,16,14,12,22,25
2022-03-22 15:32:47,2022-03-22 15:38:19,IP Address,45.20.202.141,100,332,True,2022-03-22 15:38:19,R_2YJkr0ZuQvrQMS1,,,,,34.0796966552734375,-83.93280029296875,anonymous,EN,"I am 18 or older, attend a Southern Baptist church, and consent to begin the survey",4. Very,4. Very,4. Very,5. Extremely,4. Very,4. Very,4. Very,4. Agree,4. Agree,4. Agree,3. Neutral,4. Agree,4. Agree,4. Agree,4. Agree,5. Strongly Agree,4. Agree,4. Agree,5. Strongly Agree,5. Strongly Agree,A little more friendly,A little better at interacting with people,Female,35-44 years old,8+ years,More than once per week,Leadership position,5. Quite Well,200-499,Predominantly White,,17,12,12,19,23
