"time","steps","day.week","month","day.month"
2016-05-04,13879,"Wednesday","May",4
2016-05-05,10024,"Thursday","May",5
2016-05-06,12470,"Friday","May",6
2016-05-07,10375,"Saturday","May",7
2016-05-08,11874,"Sunday","May",8
2016-05-09,10168,"Monday","May",9
2016-05-10,12749,"Tuesday","May",10
2016-05-11,10127,"Wednesday","May",11
2016-05-12,14418,"Thursday","May",12
2016-05-13,10084,"Friday","May",13
2016-05-14,10739,"Saturday","May",14
2016-05-15,11099,"Sunday","May",15
2016-05-16,10183,"Monday","May",16
2016-05-17,16037,"Tuesday","May",17
2016-05-18,10540,"Wednesday","May",18
2016-05-19,11737,"Thursday","May",19
2016-05-20,10621,"Friday","May",20
2016-05-21,10650,"Saturday","May",21
2016-05-22,11712,"Sunday","May",22
2016-05-23,14476,"Monday","May",23
2016-05-24,10081,"Tuesday","May",24
2016-05-25,13018,"Wednesday","May",25
2016-05-26,13632,"Thursday","May",26
2016-05-27,10136,"Friday","May",27
2016-05-28,10371,"Saturday","May",28
2016-05-29,13749,"Sunday","May",29
2016-05-30,14543,"Monday","May",30
2016-05-31,12410,"Tuesday","May",31
2016-06-01,12193,"Wednesday","June",1
2016-06-02,12456,"Thursday","June",2
2016-06-03,14242,"Friday","June",3
2016-06-04,10258,"Saturday","June",4
2016-06-05,11167,"Sunday","June",5
2016-06-06,12142,"Monday","June",6
2016-06-07,10873,"Tuesday","June",7
2016-06-08,11152,"Wednesday","June",8
2016-06-09,17366,"Thursday","June",9
2016-06-10,10064,"Friday","June",10
2016-06-11,13777,"Saturday","June",11
2016-06-12,10146,"Sunday","June",12
2016-06-13,13983,"Monday","June",13
2016-06-14,10457,"Tuesday","June",14
2016-06-15,10736,"Wednesday","June",15
2016-06-16,10641,"Thursday","June",16
2016-06-17,10133,"Friday","June",17
2016-06-18,20875,"Saturday","June",18
2016-06-19,10341,"Sunday","June",19
2016-06-20,12338,"Monday","June",20
2016-06-21,13360,"Tuesday","June",21
2016-06-22,13602,"Wednesday","June",22
2016-06-23,12427,"Thursday","June",23
2016-06-24,16635,"Friday","June",24
2016-06-25,10027,"Saturday","June",25
2016-06-26,12770,"Sunday","June",26
2016-06-27,10892,"Monday","June",27
2016-06-28,15769,"Tuesday","June",28
2016-06-29,16290,"Wednesday","June",29
2016-06-30,19556,"Thursday","June",30
2016-07-01,6479,"Friday","July",1
2016-07-02,5770,"Saturday","July",2
2016-07-03,3244,"Sunday","July",3
2016-07-04,4459,"Monday","July",4
2016-07-05,6800,"Tuesday","July",5
2016-07-06,7383,"Wednesday","July",6
2016-07-07,4387,"Thursday","July",7
2016-07-08,8709,"Friday","July",8
2016-07-09,7642,"Saturday","July",9
2016-07-10,7517,"Sunday","July",10
2016-07-11,10000,"Monday","July",11
2016-07-12,2732,"Tuesday","July",12
2016-07-13,0,"Wednesday","July",13
2016-07-14,2132,"Thursday","July",14
2016-07-15,8270,"Friday","July",15
2016-07-16,11994,"Saturday","July",16
2016-07-17,8928,"Sunday","July",17
2016-07-18,9104,"Monday","July",18
2016-07-19,8366,"Tuesday","July",19
2016-07-20,10065,"Wednesday","July",20
2016-07-21,5393,"Thursday","July",21
2016-07-22,14571,"Friday","July",22
2016-07-23,9148,"Saturday","July",23
2016-07-24,10200,"Sunday","July",24
2016-07-25,11310,"Monday","July",25
2016-07-26,17060,"Tuesday","July",26
2016-07-27,7687,"Wednesday","July",27
2016-07-28,14253,"Thursday","July",28
2016-07-29,10143,"Friday","July",29
2016-07-30,11000,"Saturday","July",30
2016-07-31,11647,"Sunday","July",31
2016-08-01,8613,"Monday","August",1
2016-08-02,14899,"Tuesday","August",2
2016-08-03,10784,"Wednesday","August",3
2016-08-04,12671,"Thursday","August",4
2016-08-05,7831,"Friday","August",5
2016-08-06,9026,"Saturday","August",6
2016-08-07,10350,"Sunday","August",7
2016-08-08,10792,"Monday","August",8
2016-08-09,11760,"Tuesday","August",9
2016-08-10,10889,"Wednesday","August",10
2016-08-11,10203,"Thursday","August",11
2016-08-12,9571,"Friday","August",12
2016-08-13,12228,"Saturday","August",13
2016-08-14,13820,"Sunday","August",14
2016-08-15,11302,"Monday","August",15
2016-08-16,5454,"Tuesday","August",16
2016-08-17,8803,"Wednesday","August",17
2016-08-18,6794,"Thursday","August",18
2016-08-19,7542,"Friday","August",19
2016-08-20,10898,"Saturday","August",20
2016-08-21,11216,"Sunday","August",21
2016-08-22,8831,"Monday","August",22
2016-08-23,11006,"Tuesday","August",23
2016-08-24,11357,"Wednesday","August",24
2016-08-25,10478,"Thursday","August",25
2016-08-26,12850,"Friday","August",26
2016-08-27,9036,"Saturday","August",27
2016-08-28,10086,"Sunday","August",28
2016-08-29,12069,"Monday","August",29
2016-08-30,10673,"Tuesday","August",30
2016-08-31,11692,"Wednesday","August",31
2016-09-01,11972,"Thursday","September",1
2016-09-02,10034,"Friday","September",2
2016-09-03,7193,"Saturday","September",3
2016-09-04,11852,"Sunday","September",4
2016-09-05,8321,"Monday","September",5
2016-09-06,9262,"Tuesday","September",6
2016-09-07,13060,"Wednesday","September",7
2016-09-08,9052,"Thursday","September",8
2016-09-09,10955,"Friday","September",9
2016-09-10,10296,"Saturday","September",10
2016-09-11,10128,"Sunday","September",11
2016-09-12,10328,"Monday","September",12
2016-09-13,9060,"Tuesday","September",13
2016-09-14,9624,"Wednesday","September",14
2016-09-15,9467,"Thursday","September",15
2016-09-16,10867,"Friday","September",16
2016-09-17,9213,"Saturday","September",17
2016-09-18,9330,"Sunday","September",18
2016-09-19,11443,"Monday","September",19
2016-09-20,9579,"Tuesday","September",20
2016-09-21,10927,"Wednesday","September",21
2016-09-22,10044,"Thursday","September",22
2016-09-23,10473,"Friday","September",23
2016-09-24,11494,"Saturday","September",24
2016-09-25,8677,"Sunday","September",25
2016-09-26,11513,"Monday","September",26
2016-09-27,9945,"Tuesday","September",27
2016-09-28,8969,"Wednesday","September",28
2016-09-29,10008,"Thursday","September",29
