id,CONFIDNT,ASSERTIV,COGNITIV,OUTGOING,DEPENDBL,WARMHSTL,SEX,at.child,at.adol,ba.child,ba.adol
B001,1.01936,-0.59232,-0.3631,-2.17823,6.08927,3.64012,M,3.5,3.69,3.13,4.63
B004,0.21597,-0.36036,-2.94234,1.4434,6.55381,4.52546,M,2.94,2.4,2.81,5
B005,1.52044,3.78449,-2.90727,1.39049,2.80028,-5.19054,F,0,3.6,0,4.06
B007,-2.28603,4.47662,2.06461,-0.0793,8.37829,-1.38678,F,3.63,0,0,0
B009,2.28329,3.95261,3.89198,4.74541,5.58957,-0.99278,M,3.88,3.69,0,4
B010,0.65725,5.17417,-2.36343,0.85924,5.95286,0.30661,M,3.88,2.38,3.44,5.94
B011,-1.88516,5.8183,-0.39823,-0.25503,9.45455,-6.28452,M,4.06,3.5,3.38,4.06
B012,3.52485,-2.151,0.04332,1.90951,4.53226,3.40466,F,0,2.5,2.38,3.87
B015,-0.56083,3.48796,-5.23001,2.87108,1.98966,-4.04444,M,4.63,3.81,3.53,4.31
B019,3.91897,0.79106,1.76962,0.85595,7.85511,-0.54518,M,4.94,4.13,2.63,3.56
B020,2.74689,-1.15129,-2.92251,4.40417,5.31395,-2.04801,F,2.88,0,0,0
B022,2.26702,0.02441,-1.73911,7.29934,3.84729,-0.8022,F,2.56,2.13,0,3.8
B025,-1.00773,4.6318,-6.13944,-0.44981,4.18033,-4.23638,M,3.06,2.5,3.81,4.75
B029,1.15418,-0.91122,-4.07343,-0.99939,6.69428,-4.2205,F,4.44,2.56,2.19,5.19
B033,0.44705,1.06887,-4.13394,1.52341,1.68902,3.73128,M,2.5,3,0,4.81
B034,3.70892,0.63553,2.74613,3.41159,6.50612,3.63254,F,2.5,3.44,0,5.38
B035,-2.12545,0.13701,-4.94712,1.35438,-0.16207,-2.25745,F,1.75,2.63,0,5.06
B038,2.16212,2.22927,-0.43281,-0.42089,8.20667,0.76824,M,3.94,3.94,0,5.69
B040,3.65163,1.71059,4.03602,3.58874,6.93877,0.99147,M,3.69,4.19,2.81,5.06
B041,2.38293,1.91926,0.67681,1.46427,8.63823,2.15395,M,3.81,4.19,3.63,4
B044,1.75795,-0.93568,-4.77972,2.07791,6.46607,-0.01626,F,3.63,0,3.75,0
B045,-1.87874,3.21419,-0.50274,1.32404,8.56262,0.49047,F,3.56,1.63,0,2.33
B049,3.85039,1.09077,1.81234,3.68336,7.61215,1.37318,F,3.81,3.5,0,5.53
B050,3.59826,2.82686,1.30919,2.24778,8.57256,2.01172,M,3.69,0,4.81,0
B051,3.85817,1.99675,2.83842,4.97165,5.86913,-0.31451,M,3.19,3.69,2.94,3.25
B052,3.03307,0.84164,-0.97093,2.20808,7.24324,-0.05455,F,4.38,0,0,0
B055,-0.96213,4.63501,-1.60341,5.00043,1.82002,-3.44213,F,4.75,0,0,0
B056,-2.07865,5.01023,-2.93553,2.71241,3.49289,-5.65135,M,2.69,2.69,3.69,2.94
B057,-3.04923,2.79073,-6.12111,1.54041,2.71065,-1.78696,F,4.13,3.06,3.25,4.8
B058,-0.61775,3.19777,-5.45182,-1.45592,0.85689,-3.39157,M,5.19,2.94,3.73,4.63
B062,-0.24521,1.2852,2.17637,1.38829,8.59874,1.09563,M,4.06,3.6,4.31,3.94
B068,-1.44148,-1.75139,-0.93665,-0.43754,4.55884,0.75282,F,3.44,3.31,2.94,4.4
B073,-1.59216,1.96192,-4.23206,-4.05042,5.91671,0.66255,M,3.75,4.75,2.8,4.63
B077,2.63886,-0.4003,0.12273,0.4135,7.33417,3.19266,F,3.38,0,0,0
B090,-2.97115,-1.10125,-0.94147,-3.61102,4.26197,-1.28766,F,3.07,0,0,0
B091,2.64096,-0.75697,-2.15809,-1.73434,5.44556,1.14686,F,0,0,0,0
B092,3.86784,2.62018,2.07633,5.68836,4.30282,-3.00744,F,3.69,3.81,0,4.64
B093,4.84584,1.12368,0.79905,5.21116,3.75215,0.15315,F,3.8,0,0,0
